2026/08/03 10:48:57 INFO  : Using sha1 for hash comparisons
2026/08/03 10:49:27 NOTICE: 2026/08/03 10:49:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:49:57 NOTICE: 2026/08/03 10:49:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:50:27 NOTICE: 2026/08/03 10:50:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:50:57 NOTICE: 2026/08/03 10:50:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:51:27 NOTICE: 2026/08/03 10:51:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:51:57 NOTICE: 2026/08/03 10:51:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:52:27 NOTICE: 2026/08/03 10:52:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:52:57 NOTICE: 2026/08/03 10:52:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:53:27 NOTICE: 2026/08/03 10:53:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:53:57 NOTICE: 2026/08/03 10:53:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:54:27 NOTICE: 2026/08/03 10:54:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:54:57 NOTICE: 2026/08/03 10:54:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:55:27 NOTICE: 2026/08/03 10:55:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:55:57 NOTICE: 2026/08/03 10:55:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:56:27 NOTICE: 2026/08/03 10:56:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:56:57 NOTICE: 2026/08/03 10:56:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:57:27 NOTICE: 2026/08/03 10:57:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:57:57 NOTICE: 2026/08/03 10:57:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:58:27 NOTICE: 2026/08/03 10:58:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:58:57 NOTICE: 2026/08/03 10:58:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:59:27 NOTICE: 2026/08/03 10:59:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 10:59:57 NOTICE: 2026/08/03 10:59:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:00:27 NOTICE: 2026/08/03 11:00:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:00:57 NOTICE: 2026/08/03 11:00:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:01:27 NOTICE: 2026/08/03 11:01:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:01:57 NOTICE: 2026/08/03 11:01:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:02:27 NOTICE: 2026/08/03 11:02:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:02:57 NOTICE: 2026/08/03 11:02:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:03:27 NOTICE: 2026/08/03 11:03:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:03:57 NOTICE: 2026/08/03 11:03:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:04:27 NOTICE: 2026/08/03 11:04:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:04:57 NOTICE: 2026/08/03 11:04:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:05:27 NOTICE: 2026/08/03 11:05:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:05:57 NOTICE: 2026/08/03 11:05:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:06:27 NOTICE: 2026/08/03 11:06:27 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:06:57 NOTICE: 2026/08/03 11:06:57 -           0 B / 0 B, -, 0 B/s, ETA -
2026/08/03 11:07:13 NOTICE: webdav root 'Migration/Migration cloud.werk-haus.org': 0 differences found
2026/08/03 11:07:13 NOTICE: webdav root 'Migration/Migration cloud.werk-haus.org': 18390 matching files
2026/08/03 11:07:13 NOTICE: 2026/08/03 11:07:13 -           0 B / 0 B, -, 0 B/s, ETA -
